id,status,added_files,total_changes,deleted_files,modified_files,build_correction_intervals,total_builds,success_builds,failed_builds,ci_latency,ci_result,closure_time,comment_time,reviews_number,first_response_time,total_jobs,success_jobs,failed_jobs,mention_number,review_time,participants_number,source_code_added_lines,source_code_removed_lines,test_code_added_lines,test_code_removed_lines,total_comments,general_comments,review_comments,effective_comments
4616,merged,1,14,0,13,514306.28,12,10,2,684332.183,1,0,0,41,0,36,36,0,0,685097.459,2,351,74,0,0,0,0,0,0
4614,merged,0,1,0,1,53.532,20,19,1,600576.795,1,0,0,20,0,96,70,0,0,190.743,1,0,0,0,0,0,0,0,0
4613,merged,12,41,3,26,53.532,17,16,1,-543.361,1,0,0,18,0,93,63,0,0,21.738,1,947,79,0,0,0,0,0,0
4600,merged,1,15,0,14,1726464.906,17,8,9,4933205.479,1,0,0,24,0,51,51,0,0,4933932.98,2,896,161,0,0,0,0,0,0
4592,merged,1,9,0,8,1279.728,16,13,3,1383827.56,1,0,0,17,0,48,48,0,0,1383916.596,2,230,112,0,0,0,0,0,0
4581,merged,0,3,0,3,435242.074,13,10,3,1810.706,1,0,0,13,0,39,39,0,0,78604.508,2,22,6,0,0,0,0,0,0
4579,merged,0,10,0,10,160655.33800000002,19,13,6,1895115.046,1,0,0,19,0,57,57,0,0,1896179.947,2,152,32,0,0,0,0,0,0
4531,merged,0,9,0,9,435242.074,12,9,3,698566.551,1,0,0,12,0,36,36,0,0,696106.976,2,113,27,0,0,0,0,0,0
4510,merged,0,9,0,9,605806.324,14,7,7,2939310.116,1,0,0,13,0,42,33,3,0,2939523.631,2,183,19,0,0,0,0,0,0
4503,merged,0,8,0,8,0,11,11,0,600653.367,0,0,0,11,0,33,33,0,0,90532.195,2,336,309,0,0,0,0,0,0
4501,merged,0,4,0,4,0,7,7,0,5377.404,0,0,0,7,0,21,21,0,0,6844.457,2,45,61,0,0,0,0,0,0
4496,merged,0,7,0,7,0,7,7,0,7021.193,0,0,0,8,0,21,21,0,0,7277.851,2,435,409,0,0,0,0,0,0
4494,merged,0,5,0,5,0,7,7,0,2885.859,0,0,0,9,0,21,21,0,0,3575.028,2,455,290,0,0,0,0,0,0
4478,merged,0,8,0,8,0,5,5,0,176495.434,0,0,0,6,0,15,15,0,0,150727.672,2,36,23,0,0,0,0,0,0
4455,merged,6,11,0,5,426702.185,12,10,2,1219237.83,1,0,0,14,0,36,36,0,0,1292573.659,2,464,251,0,0,0,0,0,0
4453,merged,1,15,0,14,770554.855,20,10,10,3023096.044,1,0,0,25,0,60,60,0,0,3023285.808,3,365,81,0,0,0,0,0,0
4446,merged,1,17,0,16,0,14,14,0,702281.629,0,0,0,19,0,46,44,0,0,1017810.774,3,1049,1101,0,0,0,0,0,0
4445,merged,0,6,0,6,0,3,3,0,4732.25,0,0,0,3,0,9,9,0,0,5408.011,2,62,21,0,0,0,0,0,0
4437,merged,0,3,0,3,0,3,3,0,76542.608,0,0,0,4,0,9,9,0,0,76981.96,2,140,115,0,0,0,0,0,0
